data,codigo,designacao,preco_medio_ponderado
2018-01-01, 3200, Gasolina 95, 1.5308
2018-01-01, 3400, Gasolina 98, 1.5627
2018-01-01, 2100, Gasóleo, 1.3298
2018-01-01, 1120, GPL Auto, 0.6858
2018-01-01, 1450, Gasolina aditivada, 1.5998
2018-01-01, 2105, Gasóleo especial, 1.3675
2018-01-01, 2150, Gasóleo colorido, 0.8535
2018-01-01, 2155, Gasóleo de aquecimento, 1.0989
2018-01-01, 3205, Gasolina especial 95, 1.5363
2018-01-01, 3405, Gasolina especial 98, 1.6876
2018-01-01, 3210, Gasolina de mistura (motores a 2 tempos), 1.9653
2018-01-01, 2101, Gasóleo simples, 1.3207
2018-01-01, 3201, Gasolina simples 95, 1.5095
2018-01-01, 1141, GNC (gás natural comprimido) - €/m3, 0.9380
2018-01-01, 1142, GNL (gás natural liquefeito) - €/kg, 1.1157
2018-01-01, 1143, GNC (gás natural comprimido) - €/kg, 1.0740
2018-01-02, 3200, Gasolina 95, 1.5370
2018-01-02, 3400, Gasolina 98, 1.5686
2018-01-02, 2100, Gasóleo, 1.3384
2018-01-02, 1120, GPL Auto, 0.6861
2018-01-02, 1450, Gasolina aditivada, 1.6025
2018-01-02, 2105, Gasóleo especial, 1.3693
2018-01-02, 2150, Gasóleo colorido, 0.8578
2018-01-02, 2155, Gasóleo de aquecimento, 1.1068
2018-01-02, 3205, Gasolina especial 95, 1.5373
2018-01-02, 3405, Gasolina especial 98, 1.6960
2018-01-02, 3210, Gasolina de mistura (motores a 2 tempos), 1.9654
2018-01-02, 2101, Gasóleo simples, 1.3261
2018-01-02, 3201, Gasolina simples 95, 1.5171
2018-01-02, 1141, GNC (gás natural comprimido) - €/m3, 0.9380
2018-01-02, 1142, GNL (gás natural liquefeito) - €/kg, 1.1156
2018-01-02, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-03, 3200, Gasolina 95, 1.5378
2018-01-03, 3400, Gasolina 98, 1.5733
2018-01-03, 2100, Gasóleo, 1.3405
2018-01-03, 1120, GPL Auto, 0.6903
2018-01-03, 1450, Gasolina aditivada, 1.6099
2018-01-03, 2105, Gasóleo especial, 1.3752
2018-01-03, 2150, Gasóleo colorido, 0.8611
2018-01-03, 2155, Gasóleo de aquecimento, 1.1116
2018-01-03, 3205, Gasolina especial 95, 1.5453
2018-01-03, 3405, Gasolina especial 98, 1.7008
2018-01-03, 3210, Gasolina de mistura (motores a 2 tempos), 1.9660
2018-01-03, 2101, Gasóleo simples, 1.3322
2018-01-03, 3201, Gasolina simples 95, 1.5220
2018-01-03, 1141, GNC (gás natural comprimido) - €/m3, 0.9380
2018-01-03, 1142, GNL (gás natural liquefeito) - €/kg, 1.1156
2018-01-03, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-04, 3200, Gasolina 95, 1.5393
2018-01-04, 3400, Gasolina 98, 1.5738
2018-01-04, 2100, Gasóleo, 1.3418
2018-01-04, 1120, GPL Auto, 0.6914
2018-01-04, 1450, Gasolina aditivada, 1.6099
2018-01-04, 2105, Gasóleo especial, 1.3768
2018-01-04, 2150, Gasóleo colorido, 0.8621
2018-01-04, 2155, Gasóleo de aquecimento, 1.1132
2018-01-04, 3205, Gasolina especial 95, 1.5478
2018-01-04, 3405, Gasolina especial 98, 1.7014
2018-01-04, 3210, Gasolina de mistura (motores a 2 tempos), 1.9660
2018-01-04, 2101, Gasóleo simples, 1.3333
2018-01-04, 3201, Gasolina simples 95, 1.5228
2018-01-04, 1141, GNC (gás natural comprimido) - €/m3, 0.9380
2018-01-04, 1142, GNL (gás natural liquefeito) - €/kg, 1.1156
2018-01-04, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-05, 3200, Gasolina 95, 1.5396
2018-01-05, 3400, Gasolina 98, 1.5740
2018-01-05, 2100, Gasóleo, 1.3422
2018-01-05, 1120, GPL Auto, 0.6914
2018-01-05, 1450, Gasolina aditivada, 1.6099
2018-01-05, 2105, Gasóleo especial, 1.3751
2018-01-05, 2150, Gasóleo colorido, 0.8625
2018-01-05, 2155, Gasóleo de aquecimento, 1.1137
2018-01-05, 3205, Gasolina especial 95, 1.5453
2018-01-05, 3405, Gasolina especial 98, 1.7014
2018-01-05, 3210, Gasolina de mistura (motores a 2 tempos), 1.9660
2018-01-05, 2101, Gasóleo simples, 1.3330
2018-01-05, 3201, Gasolina simples 95, 1.5226
2018-01-05, 1141, GNC (gás natural comprimido) - €/m3, 0.9380
2018-01-05, 1142, GNL (gás natural liquefeito) - €/kg, 1.1156
2018-01-05, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-06, 3200, Gasolina 95, 1.5378
2018-01-06, 3400, Gasolina 98, 1.5739
2018-01-06, 2100, Gasóleo, 1.3399
2018-01-06, 1120, GPL Auto, 0.6903
2018-01-06, 1450, Gasolina aditivada, 1.6099
2018-01-06, 2105, Gasóleo especial, 1.3684
2018-01-06, 2150, Gasóleo colorido, 0.8619
2018-01-06, 2155, Gasóleo de aquecimento, 1.1138
2018-01-06, 3205, Gasolina especial 95, 1.5388
2018-01-06, 3405, Gasolina especial 98, 1.6956
2018-01-06, 3210, Gasolina de mistura (motores a 2 tempos), 1.9660
2018-01-06, 2101, Gasóleo simples, 1.3285
2018-01-06, 3201, Gasolina simples 95, 1.5185
2018-01-06, 1141, GNC (gás natural comprimido) - €/m3, 0.9380
2018-01-06, 1142, GNL (gás natural liquefeito) - €/kg, 1.1156
2018-01-06, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-07, 3200, Gasolina 95, 1.5378
2018-01-07, 3400, Gasolina 98, 1.5739
2018-01-07, 2100, Gasóleo, 1.3399
2018-01-07, 1120, GPL Auto, 0.6903
2018-01-07, 1450, Gasolina aditivada, 1.6099
2018-01-07, 2105, Gasóleo especial, 1.3697
2018-01-07, 2150, Gasóleo colorido, 0.8619
2018-01-07, 2155, Gasóleo de aquecimento, 1.1138
2018-01-07, 3205, Gasolina especial 95, 1.5406
2018-01-07, 3405, Gasolina especial 98, 1.6958
2018-01-07, 3210, Gasolina de mistura (motores a 2 tempos), 1.9660
2018-01-07, 2101, Gasóleo simples, 1.3287
2018-01-07, 3201, Gasolina simples 95, 1.5186
2018-01-07, 1141, GNC (gás natural comprimido) - €/m3, 0.9380
2018-01-07, 1142, GNL (gás natural liquefeito) - €/kg, 1.1156
2018-01-07, 1143, GNC (gás natural comprimido) - €/kg, 0.9990
2018-01-08, 3200, Gasolina 95, 1.5392
2018-01-08, 3400, Gasolina 98, 1.5729
2018-01-08, 2100, Gasóleo, 1.3430
2018-01-08, 1120, GPL Auto, 0.6910
2018-01-08, 1450, Gasolina aditivada, 1.6208
2018-01-08, 2105, Gasóleo especial, 1.3776
2018-01-08, 2150, Gasóleo colorido, 0.8633
2018-01-08, 2155, Gasóleo de aquecimento, 1.1143
2018-01-08, 3205, Gasolina especial 95, 1.5451
